sessionId,userId,gameModeName,gameTime,userType,entryTime,exitTime,duration,roomName,roomType,roomSequence,combatRoomNumber,dungeonRoomNumber,eventType,weaponName,total_damage,damage,ability_pyrosphere,ability_minigun,ability_machinegun,ability_bomb_blackhole,ability_bomb,ability_drone,ability_chakram,ability_smg_gleamtwins,ability_kusarigama,ability_chain_lightning,ability_ice_cube,ability_renew,ability_healing_mark,enemyKills,PartyMembers
01JJFDCKTF4W3ZKK9EK7EJVJFP,01JFNJSS1Z3CJVKDFXCHMPD44P,,,,2025-01-25 19:00:40.500000 UTC,2025-01-25 19:23:14.500000 UTC,1354,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_ac0002,252125.0,38409.0,104934.0,,,,,,108782.0,,,,,,,7,3
01JJFDDENJHCYANR5CRCE9CZ0H,01HW3JC9SHP0NYPGKSFJ7JGCST,,,,2025-01-25 19:01:08.499000 UTC,2025-01-25 19:15:49.500000 UTC,881,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_hammer_chronosteel,51779.0,24334.0,,10785.0,,,1365.0,15295.0,,,,,,,,0,7
01JJFDDENJHCYANR5CRCE9CZ0H,01JC9CQV0Q5N0X512Y5Q4F51FR,,,,2025-01-25 19:01:08.499000 UTC,2025-01-25 19:15:49.500000 UTC,881,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_tritium,90350.0,28417.0,,12063.0,,,,4900.0,44970.0,,,,,,,7,7
01JJFDDRG37KZRBSPE3XR27X4N,01HV9SK9ZPM76W38DEAHGGK0J4,,,,2025-01-25 19:01:18.499000 UTC,2025-01-25 19:11:28.500000 UTC,610,DCCombatEmpty_Lush,combat_combat,0.0,1,1,died,arms_axe_ferrox,130059.0,93959.0,,,,,,21534.0,,,,,14566.0,,,13,2
01JJFEWJXZ2WVJXCZTDDWNKJV7,01JFB3SVWM9YEAESRE416P9SKF,,,,2025-01-25 19:26:53.500000 UTC,2025-01-25 19:49:41.500000 UTC,1368,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_tritium,251130.0,68321.0,122567.0,,60242.0,,,,,,,,,,,5,3
01JJFF7CAGKJBWYYYQWEMYXPP1,01HWNPFC4SDS76TF61T6SC1V0K,,,,2025-01-25 19:32:47.499000 UTC,2025-01-25 19:45:31.500000 UTC,764,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_greatsword_tritium,74939.0,14337.0,13644.0,,,,,,,46958.0,,,,,,0,5
01JJFFSWG96BD9MC0776XBY7V8,01HWXE731KZQ8FH60JPJ0GCTHM,,,,2025-01-25 19:42:52.499000 UTC,2025-01-25 20:07:53.500000 UTC,1501,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,332442.0,217987.0,43766.0,,70689.0,,,,,,,,,,,13,5
01JJFFZ5HRSYZAM3NP6WF6J7NN,01HV7F2Z03B3X3SG7MZC30PSJ2,,,,2025-01-25 19:45:46.499000 UTC,2025-01-25 19:58:05.499000 UTC,739,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_sword_ferrox,88804.0,79416.0,,,9388.0,,,,,,,,,,,12,5
01JJFDK86DFCFM4T8RSEJXY69K,01HXJ4CQWP68GBW0694WX0QRTY,,,,2025-01-25 19:04:18.500000 UTC,2025-01-25 19:16:23.500000 UTC,725,DCCombatEmpty_Lush,combat_combat,0.0,1,1,abandoned,arms_axe_demon,145466.0,88316.0,36226.0,11976.0,,,,,,,,,8948.0,,,12,3
01JJFDMFZST0HQCDZHFTHJ1G08,01HV7X0JR2X8PJ5Q9CE2YS0ADV,,,,2025-01-25 19:04:59.500000 UTC,2025-01-25 19:18:23.499000 UTC,803,DCCombatEmpty_Lush,combat_combat,0.0,1,1,extraction,arms_axe_demon,388606.0,208611.0,,,,,,,156253.0,,,,23742.0,,,9,1
